OperatorID;Room1;Room2;TravelTime
8;MA_432016;033A05DK 3;110;640
9;MA_431735;054A04DK 5;110;138
9;MA_431788;061A14DK 6;110;354
9;MA_431795;061A03DK 6;110;488
9;MA_431794;061A03DK 6;110;598
10;MA_431738;053A02DK 6;110;180
10;MA_431645;093A08DK 15;110;355
10;MA_431644;093A08DK 15;110;465
10;MA_431654;094A08DK 19;110;673
11;MA_431627;094A08DK 9;110;193
11;MA_431640;055A05_1DK 9;110;363
11;MA_431638;055A05_1DK 9;110;473
11;MA_431641;055A05_1DK 9;110;583
12;MA_432064;104A01DK 10;110;173
12;MA_431773;044A12DK 4;110;349
12;MA_431800;015A04DK 1;110;553
12;MA_431801;015A04DK 1;110;663
13;MA_431637;095A06DK 9;110;214
13;MA_431635;095A06DK 9;110;324
13;MA_431642;055A05_1DK 9;110;454
13;MA_431643;055A05_1DK 9;110;564
14;MA_432025;033A05DK 3;110;182
14;MA_431903;012A04DK 1;110;379
14;MA_432002;015A08DK 1;110;646
15;MA_431631;094A08DK 9;110;193
15;MA_431649;163A10DK 16;110;424
15;MA_431647;163A10DK 16;110;534
15;MA_431648;163A10DK 16;110;644
16;MA_431772;044A12DK 4;110;131
16;MA_431704;025A09DK 2;110;329
16;MA_431802;015A01DK 1;110;487
16;MA_431839;013A06DK 1;110;650
17;MA_431708;026A16DK 2;110;222
17;MA_431740;054A12DK 5;110;436
17;MA_431646;093A08DK 15;110;642
18;MA_431778;034A02DK 3;110;149
18;MA_431733;054A01DK 5;110;311
18;MA_432065;124A01DK 12;110;489
18;MA_431630;094A08DK 9;110;665
19;MA_431766;044A05DK 4;110;119
19;MA_432021;033A05DK 3;110;292
19;MA_432018;033A05DK 3;110;402
19;MA_432024;033A05DK 3;110;512
19;MA_431830;014A01DK 1;110;672
20;MA_432066;124A01DK 12;110;185
20;MA_431636;095A06DK 9;110;382
20;MA_431634;095A06DK 9;110;492
20;MA_431639;055A05_1DK 9;110;622
21;MA_431623;094A01DK 9;110;167
21;MA_431969;094A02DK 9;110;316
21;MA_431624;094A08DK 9;110;439
21;MA_431650;163A10DK 16;110;670
22;MA_431626;094A08DK 9;110;193
22;MA_431673;032A14DK 4;110;415
22;MA_431787;061A21DK 6;110;585
23;MA_431763;044A05DK 4;110;119
23;MA_431762;044A05DK 4;110;229
23;MA_431736;054A04DK 6;110;367
23;MA_431739;053A02DK 6;110;510
23;MA_431786;061A21DK 6;110;673
24;MA_431765;044A05DK 4;110;119
24;MA_431777;034A02DK 3;110;259
24;MA_432080;164A09DK 16;110;486
24;MA_431653;044A04DK 19;110;617
25;MA_431629;094A08DK 9;110;193
25;MA_431632;094A08DK 9;110;303
25;MA_431628;094A08DK 9;110;413
25;MA_432068;144A01DK 14;110;601
